kx,ky,kz,e1,e2,e3,e4
-0.6611640705360015,-1.1451697729326775,0.0,0.287,0.287,3.142,3.142
-0.6391252681848014,-1.106997447168255,0.0,0.285,0.285,3.14,3.142
-0.6170864658336014,-1.0688251214038325,0.0,0.278,0.278,3.123,3.132
-0.5950476634824013,-1.0306527956394098,0.0,0.266,0.267,3.084,3.101
-0.5730088611312013,-0.9924804698749872,0.0,0.248,0.249,3.033,3.052
-0.5509700587800013,-0.9543081441105647,0.0,0.221,0.222,2.978,2.989
-0.5289312564288012,-0.9161358183461421,0.0,0.184,0.186,2.899,2.92
-0.5068924540776012,-0.8779634925817195,0.0,0.135,0.139,2.797,2.813
-0.4848536517264011,-0.839791166817297,0.0,0.073,0.079,2.698,2.708
-0.46281484937520107,-0.8016188410528744,0.0,-0.003,0.008,2.61,2.611
-0.440776047024001,-0.7634465152884519,0.0,-0.09,-0.072,2.523,2.533
-0.418737244672801,-0.7252741895240292,0.0,-0.184,-0.158,2.443,2.466
-0.3966984423216009,-0.6871018637596066,0.0,-0.278,-0.241,2.372,2.408
-0.3746596399704008,-0.6489295379951839,0.0,-0.363,-0.314,2.313,2.361
-0.35262083761920077,-0.6107572122307614,0.0,-0.429,-0.368,2.27,2.328
-0.33058203526800073,-0.5725848864663388,0.0,-0.47,-0.397,2.246,2.314
-0.3085432329168007,-0.5344125607019162,0.0,-0.484,-0.401,2.247,2.321
-0.28650443056560065,-0.4962402349374936,0.0,-0.475,-0.386,2.273,2.351
-0.2644656282144006,-0.45806790917307105,0.0,-0.45,-0.355,2.324,2.401
-0.24242682586320055,-0.4198955834086485,0.0,-0.412,-0.314,2.394,2.463
-0.2203880235120005,-0.38172325764422593,0.0,-0.363,-0.261,2.472,2.524
-0.19834922116080048,-0.34355093187980335,0.0,-0.303,-0.198,2.537,2.563
-0.1763104188096004,-0.3053786061153807,0.0,-0.233,-0.124,2.569,2.569
-0.15427161645840032,-0.26720628035095806,0.0,-0.154,-0.041,2.539,2.555
-0.13223281410720028,-0.22903395458653547,0.0,-0.068,0.049,2.481,2.503
-0.11019401175600023,-0.19086162882211288,0.0,0.02,0.142,2.406,2.427
-0.08815520940480018,-0.15268930305769032,0.0,0.105,0.233,2.323,2.34
-0.06611640705360014,-0.11451697729326774,0.0,0.18,0.316,2.243,2.254
-0.04407760470240009,-0.07634465152884516,0.0,0.24,0.382,2.177,2.182
-0.022038802351200044,-0.03817232576442258,0.0,0.278,0.425,2.133,2.134
0.0,0.0,0.0,0.292,0.44,2.115,2.118
0.01105255865301125,-0.01906701940352465,0.0,0.288,0.436,2.12,2.122
0.022104918758253562,-0.038134153438658204,0.0,0.28,0.426,2.132,2.133
0.03315747741126492,-0.05720117284218279,0.0,0.267,0.411,2.15,2.151
0.04421003606427617,-0.07626819224570744,0.0,0.249,0.392,2.172,2.176
0.0552623961695186,-0.09533532628084092,0.0,0.229,0.369,2.199,2.207
0.06631495482252985,-0.11440234568436558,0.0,0.206,0.343,2.23,2.241
0.07736751347554109,-0.13346936508789023,0.0,0.183,0.317,2.263,2.278
0.08841987358078351,-0.15253649912302378,0.0,0.158,0.29,2.298,2.318
0.09947243223379476,-0.17160351852654845,0.0,0.134,0.263,2.335,2.358
0.11052499088680602,-0.1906705379300731,0.0,0.11,0.236,2.371,2.399
0.12157735099204844,-0.2097376719652066,0.0,0.086,0.21,2.407,2.439
0.1326299096450597,-0.22880469136873122,0.0,0.064,0.186,2.442,2.478
0.14368246829807105,-0.24787171077225578,0.0,0.043,0.163,2.476,2.516
0.15473482840331337,-0.2669388448073894,0.0,0.023,0.141,2.507,2.551
0.16578738705632462,-0.286005864210914,0.0,0.004,0.12,2.536,2.584
0.17683994570933598,-0.30507288361443863,0.0,-0.014,0.1,2.562,2.613
0.18789230581457828,-0.3241400176495721,0.0,-0.032,0.081,2.585,2.639
0.19894486446758952,-0.34320703705309685,0.0,-0.05,0.061,2.604,2.66
0.2099974231206009,-0.3622740564566215,0.0,-0.067,0.042,2.621,2.678
0.2210497832258432,-0.3813411904917551,0.0,-0.086,0.022,2.634,2.69
0.23210234187885456,-0.4004082098952796,0.0,-0.105,0.001,2.643,2.698
0.2431549005318658,-0.41947522929880426,0.0,-0.126,-0.022,2.65,2.701
0.25420726063710813,-0.43854236333393776,0.0,-0.149,-0.047,2.654,2.7
0.2652598192901195,-0.4576093827374624,0.0,-0.174,-0.075,2.656,2.697
0.27631237794313074,-0.47667640214098705,0.0,-0.202,-0.107,2.657,2.691
0.28736473804837315,-0.4957435361761205,0.0,-0.231,-0.141,2.657,2.684
0.2984172967013844,-0.5148105555796452,0.0,-0.261,-0.179,2.657,2.678
0.30946985535439564,-0.5338775749831699,0.0,-0.286,-0.218,2.658,2.671
0.3205222154596381,-0.5529447090183033,0.0,-0.298,-0.257,2.659,2.666
0.33157477411264935,-0.572011728421828,0.0,-0.287,-0.287,2.662,2.662
